,Codigo,Descrição       -       31/07/2022,UM,Import?,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Total,Saldo,Freq.,Media,Tempo,FOB,Venda,Ativo,Entrada Prevista
1,'BFH0003,BF PISTOLA DE COLA 6W,PC,Sim,1781,2608,2069,2226,1362,1889,11935,30150,6,1989.167,15.1571,0.01,15.3,S,0
2,'BFH0014,BF JG CHAVE HEX GRANDE C/PONTA BOLA 9PCS ACZ,PC,Sim,121,217,177,100,115,49,779,1641,6,129.8333,12.63928,0.01,38.3,S,3600
3,'BFH0015,BF JG CH COM BITS 28PCS,PC,Sim,97,258,150,299,81,199,1084,910,6,180.6667,5.0369,0.01,30.49,S,2400
4,'BFH0016,BF JG CHAVE TORX GRANDE 9PCS AC,PC,Sim,129,268,138,226,240,153,1154,3996,6,192.3333,20.77643,0.01,38.3,S,0
5,'BFH0020,BF LAMINA P/ARCO DE SERRA 12PCS 24T,PC,Sim,2182,3569,4371,2663,2037,2623,17445,35914,6,2907.5,12.35219,0.01,12.6,S,20016
6,'BFH0028,BF JG CH MULTI 9 PCS PROFISSIONAL,PC,Sim,151,359,160,352,137,186,1345,3851,6,224.1667,17.17918,0.01,29.27,S,0
7,'BFH0030,BF ESTILETE CB PLASTICO 18MM,PC,Sim,955,1573,1965,1881,1513,2417,10304,11728,6,1717.333,6.829193,0.01,6,S,24000
8,'BFH0037,BF CHAVE TESTE 6POL,PC,Sim,2236,3654,1806,2558,2008,1513,13775,35587,6,2295.833,15.50069,0.01,4.12,S,0
9,'BFH0039,BF ALICATE 8POL UNIVERSAL AC POLIDO,PC,Sim,507,490,302,484,391,407,2581,3254,6,430.1667,7.56451,0.01,27,S,6000
10,'BFH0040,BF ALICATE 6POL DE BICO AC POLIDO (150MM),PC,Sim,331,421,462,442,245,650,2551,4942,6,425.1667,11.62368,0.01,18.5,S,0
11,'BFH0041,BF ALICATE 6POL DE CORTE DIAGONAL AC POLIDO (150MM),PC,Sim,470,570,604,402,300,825,3171,5520,6,528.5,10.44465,0.01,18.5,S,0
12,'BFH0042,"BF JOGO DE 4 MINI-ALICATES 4,5POL AC POLIDO",PC,Sim,129,683,368,198,273,317,1968,4321,6,328,13.17378,0.01,42,S,0
13,'BFH0045,BF ALICATE BOMBA D AGUA AC CROMADO 10POL(250MM),PC,Sim,313,366,408,283,187,342,1899,6580,6,316.5,20.78989,0.01,32.6,S,0
14,'BFH0046,BF ALICATE DE PRESSAO 10POL CURVO PROFISSIONAL,PC,Sim,172,372,249,354,187,177,1511,5576,6,251.8333,22.14163,0.01,30.8,S,0
15,'BFH0052,BF CHAVE DE GRIFO 10POL,PC,Sim,309,345,339,315,145,201,1654,8894,6,275.6667,32.2636,0.01,29.2,S,0
16,'BFH0053,BF CHAVE DE GRIFO 12POL,PC,Sim,138,237,294,125,143,190,1127,6514,6,187.8333,34.67968,0.01,36.2,S,0
17,'BFH0054,BF CHAVE DE GRIFO 14POL,PC,Sim,89,134,131,105,63,131,653,7010,6,108.8333,64.41041,0.01,45,S,0
18,'BFH0066,BF JOGO CH ESTRELA AC 6 PCS (06X07MM A 16X17MM),PC,Sim,19,37,103,53,31,29,272,2275,6,45.33333,50.18382,0.01,48,S,0
19,'BFH0075,BF NIVEL DE PLASTICO C/FRISOS DE ALUMINIO 23X4CM 9POL,PC,Sim,178,314,322,551,222,181,1768,11498,6,294.6667,39.02036,0.01,14.5,S,0
20,'BFH0076,BF NIVEL DE ALUMINIO 12POL(300MM),PC,Sim,732,1705,1527,1148,1194,793,7099,18516,6,1183.167,15.64953,0.01,11.1,S,0
21,'BFH0078,"BF REBITADOR MANUAL 9,5POL",PC,Sim,502,560,567,573,515,408,3125,11792,6,520.8333,22.64064,0.01,29,S,12
22,'BFH0079,BF DISCO DIAMANTADO DE CORTE SECO 110MM,PC,Sim,1778,2666,3165,1787,1680,2285,13361,38715,6,2226.833,17.38567,0.01,10.9,S,0
23,'BFH0080,BF DISCO DIAMANTADO DE CORTE REFRIGERADO 110MM,PC,Sim,948,1524,2370,1348,822,1428,8440,29998,6,1406.667,21.32559,0.01,10.9,S,0
24,'BFH0081,BF DISCO DIAMANTADO DE CORTE TURBO(SECO OU REFRIGERADO) 110M,PC,Sim,2154,3494,4483,3815,2356,3056,19358,57204,6,3226.333,17.73034,0.01,10.9,S,0
25,'BFH0082,BF SERRA CIRCULAR P/MADEIRA 4POL 24D 110MM - 4POL,PC,Sim,3927,5437,6571,4802,3979,5443,30159,75115,6,5026.5,14.9438,0.01,9.42,S,0
26,'BFH0083,BF SERRA CIRCULAR P/MADEIRA 4POL 36D 110MM - 4POL,PC,Sim,1593,1582,2332,2098,1305,2231,11141,43721,6,1856.833,23.546,0.01,10.86,S,0
27,'BFH0088,BF APLICADOR PARA SILICONE 9POL,PC,Sim,1331,1784,1573,1470,900,1534,8592,9748,6,1432,6.807263,0.01,14,S,15024
28,'BFH0092,BF DESEMPENADEIRA DE ACO LISA 120X225MM,PC,Sim,348,762,549,535,281,301,2776,9563,6,462.6667,20.66931,0.01,14.5,S,0
29,'BFH0093,BF DESEMPENADEIRA DE ACO DENTADA 120X225MM,PC,Sim,440,667,616,600,298,222,2843,17383,6,473.8333,36.6859,0.01,14.5,S,0
